Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	1	22246181	0	4272721115	-1	0
1	2	0	22249175	0	4272718121	-1	0
1	3	1	22252210	0	4272715086	-1	0
1	4	1	22255205	0	4272712091	-1	0
1	5	1	22258198	0	4272709098	-1	0
1	6	1	22261192	0	4272706104	-1	0
1	7	1	22264187	0	4272703109	-1	0
1	8	1	22267181	0	4272700115	-1	0
1	9	1	22270216	0	4272697080	-1	0
1	10	1	22273211	0	4272694085	-1	0
1	11	1	22276204	0	4272691092	-1	0
1	12	1	22279198	0	4272688098	-1	0
1	13	1	22282193	0	4272685103	-1	0
1	14	1	22285186	0	4272682110	-1	0
1	15	1	22288181	0	4272679115	-1	0
1	16	1	22291215	0	4272676081	-1	0
1	17	1	22294211	0	4272673085	-1	0
1	18	1	22297204	0	4272670092	-1	0
1	19	1	22300198	0	4272667098	-1	0
