Pra_Test	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
1	1	22652355	1259	597	960	600	299.02	0	-0.04	-5.00	0.00	-200.00
1	2	22652396	1259	597	960	594	299.02	0	-0.05	-5.00	0.00	-200.00
1	3	22652437	1259	597	960	585	299.24	0	-0.05	-5.00	0.00	-200.00
1	4	22652477	1259	596	960	576	299.67	0	-0.05	-5.00	0.00	0.00
1	5	22652518	1259	596	960	576	299.67	0	-0.06	-5.00	0.00	0.00
1	6	22652559	1259	596	960	576	299.67	0	-0.06	-5.00	0.00	0.00
1	7	22652600	1259	596	960	576	299.67	0	-0.06	-5.00	0.00	0.00
1	8	22652641	1259	595	960	576	299.60	0	-0.07	-5.00	0.00	0.00
1	9	22652682	1259	595	960	576	299.60	0	-0.07	-5.00	0.00	0.00
1	10	22652722	1259	595	960	576	299.60	0	-0.07	-5.00	0.00	0.00
1	11	22652763	1259	595	960	576	299.60	0	-0.08	-5.00	0.00	0.00
1	12	22652804	1259	595	960	576	299.60	0	-0.08	-5.00	0.00	0.00
1	13	22652844	1259	594	960	576	299.54	0	-0.08	-5.00	200.00	0.00
1	14	22652885	1259	594	968	576	291.56	0	-0.09	-5.00	200.00	0.00
1	15	22652926	1259	594	975	576	284.57	0	-0.09	-5.00	200.00	0.00
1	16	22652967	1259	594	985	576	274.59	0	-0.09	-5.00	0.00	0.00
1	17	22653008	1259	594	985	576	274.59	0	-0.10	-5.00	0.00	0.00
1	18	22653049	1259	593	985	576	274.53	0	-0.10	-5.00	0.00	0.00
1	19	22653090	1259	593	985	576	274.53	0	-0.10	-5.00	0.00	0.00
1	20	22653131	1259	593	985	576	274.53	0	-0.11	-5.00	0.00	0.00
1	21	22653172	1259	593	985	576	274.53	0	-0.11	-5.00	0.00	0.00
1	22	22653213	1259	593	985	576	274.53	0	-0.11	-5.00	0.00	0.00
1	23	22653254	1259	592	985	576	274.47	0	-0.12	-5.00	0.00	0.00
1	24	22653295	1259	592	985	576	274.47	0	-0.12	-5.00	0.00	0.00
1	25	22653336	1259	592	985	576	274.47	0	-0.12	-5.00	0.00	0.00
1	26	22653377	1259	592	985	576	274.47	0	-0.13	-5.00	0.00	0.00
1	27	22653418	1259	592	985	576	274.47	0	-0.13	-5.00	0.00	0.00
1	28	22653458	1259	591	985	576	274.41	0	-0.14	-5.00	0.00	0.00
1	29	22653499	1259	591	985	576	274.41	0	-0.14	-5.00	0.00	0.00
1	30	22653540	1259	591	985	576	274.41	0	-0.14	-5.00	0.00	0.00
1	31	22653581	1259	591	985	576	274.41	0	-0.15	-5.00	0.00	0.00
1	32	22653622	1259	591	985	576	274.41	0	-0.15	-5.00	0.00	0.00
1	33	22653663	1259	590	985	576	274.36	0	-0.15	-5.00	0.00	0.00
1	34	22653704	1259	590	985	576	274.36	0	-0.16	-5.00	0.00	0.00
1	35	22653745	1259	590	985	576	274.36	0	-0.16	-5.00	0.00	0.00
1	36	22653786	1259	590	985	576	274.36	0	-0.16	-5.00	0.00	0.00
1	37	22653827	1259	590	985	576	274.36	0	-0.17	-5.00	0.00	0.00
1	38	22653868	1259	589	985	576	274.31	0	-0.17	-5.00	0.00	0.00
1	39	22653908	1259	589	985	576	274.31	0	-0.17	-5.00	0.00	0.00
1	40	22653949	1259	589	985	576	274.31	0	-0.18	-5.00	0.00	0.00
1	41	22653990	1259	589	985	576	274.31	0	-0.18	-5.00	0.00	0.00
1	42	22654031	1259	588	985	576	274.26	0	-0.18	-5.00	0.00	0.00
1	43	22654072	1259	588	985	576	274.26	0	-0.19	-5.00	0.00	0.00
1	44	22654113	1259	588	985	576	274.26	0	-0.19	-5.00	0.00	0.00
1	45	22654154	1259	588	985	576	274.26	0	-0.19	-5.00	0.00	0.00
1	46	22654195	1259	588	985	576	274.26	0	-0.20	-5.00	0.00	0.00
1	47	22654236	1259	588	985	576	274.26	0	-0.20	-5.00	0.00	0.00
1	48	22654277	1259	587	985	576	274.22	0	-0.20	-5.00	0.00	0.00
1	49	22654318	1259	587	985	576	274.22	0	-0.21	-5.00	0.00	0.00
1	50	22654358	1259	587	985	576	274.22	0	-0.21	-5.00	0.00	0.00
1	51	22654399	1259	587	985	576	274.22	0	-0.21	-5.00	0.00	0.00
1	52	22654439	1259	586	985	576	274.18	0	-0.22	-5.00	0.00	0.00
1	53	22654480	1259	586	985	576	274.18	0	-0.22	-5.00	0.00	0.00
1	54	22654521	1259	586	985	576	274.18	0	-0.22	-4.99	0.00	0.00
1	55	22654562	1259	586	985	576	274.18	0	-0.23	-4.99	0.00	0.00
1	56	22654603	1259	586	985	576	274.18	0	-0.23	-4.99	0.00	0.00
1	57	22654644	1259	585	985	576	274.15	0	-0.23	-4.99	0.00	0.00
1	58	22654684	1259	585	985	576	274.15	0	-0.24	-4.99	0.00	0.00
1	59	22654724	1259	585	985	576	274.15	0	-0.24	-4.99	0.00	0.00
1	60	22654765	1259	585	985	576	274.15	0	-0.24	-4.99	0.00	0.00
1	61	22654806	1259	585	985	576	274.15	0	-0.25	-4.99	0.00	0.00
