Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	0	1785385	1786902	1517	0	1
1	2	0	1790389	1790967	578	0	1
1	3	0	1793383	1794750	1367	0	1
1	4	0	1798387	1799062	675	0	1
1	5	0	1802406	1802918	512	0	1
1	6	0	1805400	1806189	789	0	1
1	7	0	1809379	1809931	552	0	1
1	8	0	1814383	1815838	1455	0	1
1	9	0	1818402	1819021	619	0	1
1	10	0	1822381	1822937	556	0	1
1	11	0	1825375	1826002	627	0	1
1	12	0	1831404	1832052	648	0	1
1	13	0	1835383	1835898	515	0	1
1	14	0	1839402	1840007	605	0	1
1	15	0	1842396	1842910	514	0	1
1	16	0	1846375	1846999	624	0	1
1	17	0	1850394	1850902	508	0	1
1	18	0	1854414	1854966	552	0	1
1	19	0	1858394	0	4293108902	-1	0
1	20	0	1862413	0	4293104883	-1	0
1	21	0	1867376	0	4293099920	-1	0
1	22	0	1870411	0	4293096885	-1	0
