Pra_Test	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
1	1	1783374	1259	597	960	600	299.02	0	-0.87	-100.00	0.00	-300.00
1	2	1783415	1259	593	960	588	299.04	0	-2.17	-99.98	0.00	-300.00
1	3	1783456	1259	590	960	578	299.24	0	-3.28	-99.95	0.00	-300.00
1	4	1783497	1259	585	960	565	299.67	0	-4.71	-99.89	0.00	-300.00
1	5	1783538	1259	581	960	552	300.40	0	-6.16	-99.81	300.00	-300.00
1	6	1783579	1259	577	972	539	289.50	0	-7.57	-99.71	300.00	-300.00
1	7	1783620	1258	573	985	526	277.02	0	-9.00	-99.59	300.00	-300.00
1	8	1783661	1258	569	995	516	268.29	0	-10.10	-99.49	300.00	-300.00
1	9	1783702	1257	565	1008	503	256.60	0	-11.56	-99.33	300.00	-300.00
1	10	1783742	1257	561	1021	490	246.45	0	-12.98	-99.15	300.00	-300.00
1	11	1783783	1256	556	1034	477	235.64	0	-14.40	-98.96	300.00	-300.00
1	12	1783824	1256	552	1047	464	226.77	0	-15.81	-98.74	300.00	-300.00
1	13	1783864	1255	549	1057	454	219.61	0	-16.90	-98.56	300.00	0.00
1	14	1783905	1254	545	1070	454	205.27	0	-18.31	-98.31	300.00	0.00
1	15	1783946	1254	540	1083	454	191.41	0	-19.78	-98.02	300.00	0.00
1	16	1783986	1253	536	1096	454	177.12	0	-21.19	-97.73	300.00	0.00
1	17	1784027	1252	533	1106	454	166.00	0	-22.27	-97.49	300.00	0.00
1	18	1784068	1251	529	1119	454	151.82	0	-23.66	-97.16	300.00	0.00
1	19	1784108	1250	524	1133	454	136.34	0	-25.18	-96.78	300.00	0.00
1	20	1784149	1249	520	1145	454	123.17	0	-26.50	-96.43	300.00	0.00
1	21	1784190	1248	517	1156	454	111.50	0	-27.62	-96.11	300.00	300.00
1	22	1784230	1246	512	1170	469	87.32	0	-29.12	-95.67	300.00	300.00
1	23	1784271	1245	509	1181	479	70.68	0	-30.26	-95.31	300.00	300.00
1	24	1784311	1244	505	1193	491	52.89	0	-31.54	-94.90	300.00	300.00
1	25	1784352	1243	501	1206	505	37.22	0	-32.96	-94.41	300.00	0.00
1	26	1784393	1241	497	1219	505	23.41	0	-34.31	-93.93	0.00	0.00
1	27	1784433	1240	493	1219	505	24.19	0	-35.35	-93.55	0.00	0.00
1	28	1784473	1239	489	1219	505	25.61	0	-36.68	-93.03	0.00	0.00
1	29	1784514	1237	485	1219	505	26.91	0	-38.01	-92.49	0.00	0.00
1	30	1784554	1235	482	1219	505	28.02	0	-39.33	-91.94	0.00	0.00
1	31	1784595	1234	478	1219	505	30.89	0	-40.64	-91.37	0.00	-300.00
1	32	1784636	1232	475	1219	495	23.85	0	-41.65	-90.91	0.00	-300.00
1	33	1784677	1230	471	1219	482	15.56	0	-42.95	-90.31	0.00	-300.00
1	34	1784718	1229	467	1219	469	10.20	0	-44.24	-89.68	0.00	-300.00
1	35	1784759	1227	463	1219	456	10.63	0	-45.52	-89.04	0.00	0.00
1	36	1784800	1225	459	1219	456	6.71	1	-46.79	-88.38	0.00	0.00
1	37	1784841	1223	456	1219	456	4.00	1	-47.71	-87.89	0.00	0.00
1	38	1784882	1221	453	1219	456	3.61	1	-48.96	-87.19	0.00	0.00
1	39	1784922	1219	449	1219	456	7.00	1	-50.21	-86.48	0.00	0.00
1	40	1784963	1217	445	1219	456	11.18	0	-51.44	-85.76	0.00	0.00
1	41	1785004	1215	442	1219	456	14.56	0	-52.66	-85.01	0.00	0.00
1	42	1785045	1212	438	1219	456	19.31	0	-53.87	-84.25	0.00	0.00
1	43	1785086	1210	435	1219	456	22.85	0	-54.80	-83.65	0.00	0.00
1	44	1785127	1208	432	1219	456	26.40	0	-56.00	-82.85	0.00	0.00
1	45	1785168	1206	428	1219	456	30.87	0	-57.18	-82.04	0.00	0.00
1	46	1785209	1203	424	1219	456	35.78	0	-58.35	-81.21	0.00	0.00
1	47	1785250	1201	421	1219	456	39.36	0	-59.45	-80.41	0.00	0.00
1	48	1785291	1198	418	1219	456	43.42	0	-60.60	-79.55	-300.00	-300.00
1	49	1785332	1196	415	1209	446	33.62	0	-61.47	-78.87	-300.00	-300.00
1	50	1785373	1193	412	1196	433	21.21	0	-62.60	-77.99	-300.00	-300.00
1	51	1785414	1191	408	1183	421	15.26	0	-63.71	-77.08	-300.00	-300.00
1	52	1785455	1188	405	1171	408	17.26	0	-64.80	-76.16	-300.00	-300.00
1	53	1785496	1185	402	1158	395	27.89	0	-65.89	-75.23	-300.00	-300.00
1	54	1785537	1183	399	1148	385	37.70	0	-66.72	-74.49	-300.00	-300.00
1	55	1785578	1180	396	1135	372	51.00	0	-67.78	-73.53	-300.00	-300.00
1	56	1785619	1177	393	1122	359	64.66	0	-68.83	-72.55	-300.00	-300.00
1	57	1785660	1174	390	1108	345	79.88	0	-69.90	-71.51	0.00	0.00
1	58	1785700	1172	387	1108	345	76.55	0	-70.69	-70.73	0.00	0.00
1	59	1785741	1169	384	1108	345	72.40	0	-71.69	-69.71	0.00	0.00
1	60	1785782	1166	382	1108	345	68.80	0	-72.51	-68.87	0.00	0.00
1	61	1785822	1163	379	1108	345	64.66	0	-73.57	-67.73	0.00	0.00
1	62	1785863	1159	376	1108	345	59.68	0	-74.58	-66.62	0.00	0.00
1	63	1785903	1156	373	1108	345	55.57	0	-75.53	-65.54	0.00	0.00
1	64	1785944	1154	371	1108	345	52.84	0	-76.25	-64.70	0.00	0.00
1	65	1785985	1150	368	1108	345	47.89	0	-77.17	-63.60	0.00	0.00
1	66	1786026	1147	365	1108	345	43.83	0	-78.07	-62.49	0.00	0.00
1	67	1786067	1144	363	1108	345	40.25	0	-78.96	-61.37	0.00	0.00
1	68	1786108	1140	360	1108	345	35.34	0	-79.83	-60.23	0.00	0.00
1	69	1786149	1138	358	1108	345	32.70	0	-80.45	-59.40	0.00	0.00
1	70	1786190	1134	356	1108	345	28.23	0	-81.29	-58.24	0.00	0.00
1	71	1786231	1131	353	1108	345	24.35	0	-82.12	-57.07	0.00	0.00
1	72	1786271	1127	351	1108	345	19.92	0	-82.94	-55.86	0.00	0.00
1	73	1786312	1123	348	1108	345	15.30	0	-83.74	-54.67	0.00	0.00
1	74	1786353	1120	346	1108	345	12.04	0	-84.48	-53.52	0.00	0.00
1	75	1786394	1117	344	1108	345	9.06	1	-85.06	-52.58	0.00	0.00
1	76	1786435	1113	342	1108	345	5.83	1	-85.82	-51.33	0.00	0.00
1	77	1786476	1110	340	1108	345	5.39	1	-86.42	-50.32	0.00	0.00
1	78	1786516	1106	338	1108	345	7.28	1	-87.19	-48.96	0.00	0.00
1	79	1786557	1102	336	1108	345	10.82	0	-87.95	-47.59	0.00	0.00
1	80	1786598	1100	334	1108	345	13.60	0	-88.44	-46.67	0.00	0.00
1	81	1786639	1095	332	1108	345	18.38	0	-89.16	-45.28	0.00	0.00
1	82	1786680	1091	330	1108	345	22.67	0	-89.83	-43.95	0.00	0.00
1	83	1786721	1088	328	1108	345	26.25	0	-90.34	-42.89	0.00	0.00
1	84	1786762	1084	327	1108	345	30.00	0	-90.99	-41.47	0.00	0.00
1	85	1786803	1081	325	1108	345	33.60	0	-91.47	-40.40	0.00	0.00
1	86	1786844	1076	323	1108	345	38.83	0	-92.09	-38.97	0.00	0.00
1	87	1786884	1073	322	1108	345	41.88	0	-92.52	-37.95	0.00	0.00
1	88	1786924	1069	320	1108	345	46.32	0	-93.05	-36.62	0.00	0.00
1	89	1786965	1065	319	1108	345	50.25	0	-93.61	-35.16	0.00	0.00
1	90	1787006	1062	318	1108	345	53.34	0	-94.00	-34.12	0.00	0.00
1	91	1787047	1058	316	1108	345	57.80	0	-94.48	-32.77	0.00	0.00
1	92	1787087	1054	315	1108	345	61.77	0	-94.92	-31.48	0.00	0.00
1	93	1787128	1050	313	1108	345	66.24	0	-95.38	-30.05	0.00	0.00
1	94	1787168	1046	312	1108	345	70.24	0	-95.80	-28.68	0.00	0.00
1	95	1787209	1042	311	1108	345	74.24	0	-96.18	-27.37	0.00	0.00
1	96	1787250	1038	310	1108	345	78.26	0	-96.50	-26.24	0.00	-300.00
1	97	1787291	1034	309	1108	331	77.20	0	-96.89	-24.73	0.00	-300.00
1	98	1787331	1030	308	1108	321	79.08	0	-97.18	-23.59	0.00	-300.00
1	99	1787372	1026	307	1108	308	82.01	0	-97.51	-22.19	0.00	-300.00
1	100	1787413	1022	306	1108	295	86.70	0	-97.83	-20.74	0.00	0.00
1	101	1787454	1018	305	1108	295	90.55	0	-98.06	-19.59	0.00	0.00
1	102	1787494	1014	304	1108	295	94.43	0	-98.36	-18.06	0.00	0.00
1	103	1787535	1010	304	1108	295	98.41	0	-98.59	-16.71	0.00	0.00
1	104	1787576	1006	303	1108	295	102.31	0	-98.78	-15.55	-300.00	0.00
1	105	1787617	1002	303	1096	295	94.34	0	-99.00	-14.13	-300.00	0.00
1	106	1787658	997	302	1082	295	85.29	0	-99.20	-12.65	-300.00	300.00
1	107	1787699	994	302	1072	304	78.03	0	-99.33	-11.55	-300.00	300.00
1	108	1787740	990	301	1059	317	70.83	0	-99.49	-10.13	-300.00	300.00
1	109	1787781	986	301	1046	330	66.64	0	-99.62	-8.70	-300.00	300.00
1	110	1787822	981	300	1033	343	67.48	0	-99.73	-7.28	-300.00	300.00
1	111	1787863	977	300	1021	356	71.22	0	-99.83	-5.85	-300.00	300.00
1	112	1787904	974	300	1010	367	76.06	0	-99.89	-4.68	-300.00	300.00
1	113	1787945	969	300	998	379	84.15	0	-99.95	-3.31	-300.00	0.00
