Pra_Test	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
1	1	1654401	1259	597	960	600	447.21	0	100.00	0.00	0.00	-300.00
1	2	1654442	1259	594	960	590	299.03	0	100.00	0.00	0.00	-300.00
1	3	1654483	1259	589	960	577	299.24	0	100.00	0.00	0.00	-300.00
1	4	1654524	1259	585	960	564	299.74	0	100.00	0.00	0.00	-300.00
1	5	1654564	1259	581	960	551	300.50	0	100.00	0.00	0.00	0.00
1	6	1654605	1259	577	960	551	300.13	0	100.00	0.00	0.00	0.00
1	7	1654646	1258	573	960	551	298.81	0	100.00	0.00	0.00	0.00
1	8	1654687	1258	569	960	551	298.54	0	100.00	0.00	0.00	0.00
1	9	1654728	1257	565	960	551	297.33	0	100.00	0.00	0.00	0.00
1	10	1654769	1257	560	960	551	297.14	0	100.00	0.00	0.00	0.00
1	11	1654810	1256	556	960	551	296.04	0	100.00	0.00	300.00	0.00
1	12	1654851	1256	553	969	551	287.01	0	100.00	0.00	300.00	0.00
1	13	1654892	1255	549	982	551	273.01	0	100.00	0.00	300.00	0.00
1	14	1654932	1254	545	996	551	258.07	0	100.00	0.00	300.00	0.00
1	15	1654973	1254	540	1009	551	245.25	0	100.00	0.00	300.00	0.00
1	16	1655014	1253	537	1020	551	233.42	0	100.00	0.00	300.00	0.00
1	17	1655054	1252	532	1032	551	220.82	0	100.00	0.00	300.00	0.00
1	18	1655095	1251	528	1045	551	207.28	0	100.00	0.00	300.00	0.00
1	19	1655136	1250	524	1058	551	193.89	0	100.00	0.00	300.00	0.00
1	20	1655177	1249	521	1069	551	182.48	0	100.00	0.00	300.00	0.00
1	21	1655218	1248	516	1083	551	168.67	0	100.00	0.00	300.00	0.00
1	22	1655259	1247	513	1093	551	158.62	0	100.00	0.00	300.00	0.00
1	23	1655299	1246	509	1106	551	146.16	0	100.00	0.00	300.00	0.00
1	24	1655340	1244	505	1118	551	134.13	0	100.00	0.00	300.00	0.00
1	25	1655381	1243	501	1131	551	122.65	0	100.00	0.00	300.00	0.00
1	26	1655422	1241	497	1144	551	111.02	0	100.00	0.00	300.00	0.00
1	27	1655463	1240	493	1155	551	102.90	0	100.00	0.00	300.00	0.00
1	28	1655504	1239	489	1168	551	94.26	0	100.00	0.00	300.00	0.00
1	29	1655545	1237	485	1181	551	86.56	0	100.00	0.00	300.00	0.00
1	30	1655585	1235	482	1194	551	80.26	0	100.00	0.00	300.00	0.00
1	31	1655626	1234	478	1204	551	78.92	0	100.00	0.00	300.00	0.00
1	32	1655666	1232	475	1216	551	77.67	0	100.00	0.00	300.00	0.00
1	33	1655707	1231	471	1229	551	80.02	0	100.00	0.00	300.00	0.00
1	34	1655748	1229	467	1242	551	85.00	0	100.00	0.00	300.00	0.00
1	35	1655789	1227	463	1255	551	92.35	0	100.00	0.00	300.00	0.00
1	36	1655829	1225	460	1265	551	99.40	0	100.00	0.00	0.00	0.00
1	37	1655870	1223	456	1265	551	103.87	0	100.00	0.00	0.00	0.00
1	38	1655911	1221	452	1265	551	108.34	0	100.00	0.00	0.00	0.00
1	39	1655952	1219	450	1265	551	110.98	0	100.00	0.00	0.00	0.00
1	40	1655992	1217	446	1265	551	115.45	0	100.00	0.00	0.00	0.00
1	41	1656033	1215	442	1265	551	119.92	0	100.00	0.00	0.00	0.00
1	42	1656073	1212	438	1265	551	124.81	0	100.00	0.00	0.00	0.00
1	43	1656114	1211	435	1265	551	127.95	0	100.00	0.00	0.00	0.00
1	44	1656155	1208	432	1265	551	131.95	0	100.00	0.00	0.00	0.00
1	45	1656196	1206	428	1265	551	136.42	0	100.00	0.00	0.00	0.00
1	46	1656237	1203	425	1265	551	140.43	0	100.00	0.00	0.00	0.00
1	47	1656278	1201	421	1265	551	144.90	0	100.00	0.00	0.00	0.00
1	48	1656318	1199	418	1265	551	148.48	0	100.00	0.00	0.00	0.00
1	49	1656358	1196	415	1265	551	152.50	0	100.00	0.00	0.00	0.00
1	50	1656399	1193	412	1265	551	156.54	0	100.00	0.00	0.00	0.00
1	51	1656440	1191	408	1265	551	161.01	0	100.00	0.00	0.00	0.00
1	52	1656480	1188	406	1265	551	164.18	0	100.00	0.00	0.00	0.00
1	53	1656521	1186	402	1265	551	168.65	0	100.00	0.00	0.00	0.00
1	54	1656561	1183	399	1265	551	172.71	0	100.00	0.00	0.00	0.00
1	55	1656602	1180	396	1265	551	176.78	0	100.00	0.00	0.00	0.00
1	56	1656642	1178	394	1265	551	179.49	0	100.00	0.00	0.00	0.00
1	57	1656683	1175	390	1265	551	184.45	0	100.00	0.00	-300.00	0.00
1	58	1656724	1172	387	1253	551	182.91	0	100.00	0.00	-300.00	0.00
1	59	1656765	1168	384	1239	551	181.47	0	100.00	0.00	-300.00	0.00
1	60	1656805	1166	382	1229	551	180.36	0	100.00	0.00	-300.00	0.00
1	61	1656846	1163	379	1216	551	179.98	0	100.00	0.00	-300.00	0.00
1	62	1656886	1159	376	1202	551	180.21	0	100.00	0.00	0.00	0.00
1	63	1656927	1156	373	1202	551	183.85	0	100.00	0.00	0.00	0.00
1	64	1656967	1154	371	1202	551	186.29	0	100.00	0.00	0.00	0.00
1	65	1657008	1150	368	1202	551	190.24	0	100.00	0.00	0.00	0.00
1	66	1657049	1147	365	1202	551	193.96	0	100.00	0.00	-300.00	0.00
1	67	1657090	1144	363	1190	551	193.55	0	100.00	0.00	-300.00	0.00
1	68	1657131	1141	360	1180	551	194.94	0	100.00	0.00	-300.00	0.00
1	69	1657172	1137	358	1167	551	195.32	0	100.00	0.00	-300.00	0.00
1	70	1657212	1134	355	1153	551	196.92	0	100.00	0.00	-300.00	0.00
1	71	1657253	1131	353	1143	551	198.36	0	100.00	0.00	-300.00	0.00
1	72	1657293	1127	351	1130	551	200.02	0	100.00	0.00	-300.00	0.00
1	73	1657333	1124	348	1117	551	203.12	0	100.00	0.00	-300.00	0.00
1	74	1657374	1120	346	1104	551	205.62	0	100.00	0.00	-300.00	0.00
