ID	Name	Sex	Session	DistanceError	PracMode	ExperMode	MainTask	SubTask	Background	Direction	InitSpeed	HoldTimeNum	HoldTime1	HoldTime2	HoldTime3	HoldTime4	HoldTime5	HoldTime6	HoldTime7	HoldTime8	HoldTime9	HoldTime10	HoldTime11	HoldTime12	PracTime	ExperTime	PracTimes	ExperTimes	Pra_Test	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	1	5199240	940	371	640	371	18889.90	0	0.00	0.00	0.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	2	5199280	940	371	640	363	300.11	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	3	5199320	940	371	631	354	309.47	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	4	5199360	940	371	623	346	317.98	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	5	5199400	940	371	615	338	326.67	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	6	5199440	940	371	607	330	335.51	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	7	5199480	940	371	599	322	344.50	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	8	5199520	940	371	591	314	353.62	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	9	5199560	940	371	583	306	362.87	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	10	5199600	940	371	575	298	372.23	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	11	5199640	940	371	567	290	381.69	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	12	5199680	940	371	559	282	391.26	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	13	5199720	940	371	551	274	400.91	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	14	5199760	940	371	543	266	410.65	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	15	5199800	940	371	535	258	420.47	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	16	5199840	940	371	527	250	430.36	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	17	5199880	940	371	519	242	440.32	0	-0.00	-0.00	-200.00	-200.00
11	11	ÄÐ	0	10.00	1	0	1	1	0	0	5.00	5	0.0	0.0	0.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	60	60	1	1	0	18	5199920	940	371	511	234	450.34	0	-0.00	-0.00	-200.00	-200.00
