测试序号	速度	运动方向	运动开始时间	消失时间	按键时间	可见运动时间	进入遮挡到按键时间	实际时间(毫秒)	估计时间(毫秒)	偏差率(%)	起始座标	目标座标	按键座标
1	100	竖直向下	1790169417712	1790194929379	1790195167947	2551.1667	23.8568	2575.02	2.00	-1	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=186}
1	100	竖直向下	1790169417712	1790194929379	1790195167947	2551.1667	23.8568	2575.02	2.00	+433.90	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=186}
3	50	竖直向上	1790468677987	1790509187913	1790509208015	4050.9926	2.0102	4053.00	4.00	-99.30	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
4	150	水平向右	1790561357842	1790581818226	1790581830334	2046.0384	1.2108	2047.25	1.33	-98.05	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
5	50	水平向左	1790591886766	1790632377795	1790632758200	4049.1029	38.0405	4087.14	4.00	-99.32	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
6	100	水平向左	1790642847475	1790668277016	1790668436551	2542.9541	15.9535	2558.91	2.00	-99.07	{X=964,Y=384}	{X=614,Y=384}	{X=812,Y=384}
7	150	竖直向上	1790678477344	1790698950077	1790698968795	2047.2733	1.8718	2049.15	1.33	-98.35	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
8	50	竖直向下	1790709018818	1790749268997	1790749269031	4025.0179	0.0034	4025.02	4.00	-99.98	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=184}
9	100	竖直向下	1790759357039	1790784748554	1790785007840	2539.1515	25.9286	2565.08	2.00	-99.10	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
10	150	竖直向上	1790795057462	1790815467934	1790815468072	2041.0472	0.0138	2041.06	1.33	-98.36	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
11	50	竖直向下	1790825538555	1790866006671	1790866129426	4046.8116	12.2755	4059.09	4.00	-99.51	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=184}
12	100	竖直向下	1790876187088	1790866006671	1790866129426	1018.0417	12.2755	1005.77	2.00	-175.00	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=184}
13	100	水平向右	1790886729233	1790912188197	1790912188395	2545.8964	0.0198	2545.92	2.00	-98.95	{X=264,Y=384}	{X=614,Y=384}	{X=416,Y=384}
14	150	竖直向下	1790922246753	1790912188197	1790912188395	1005.8556	0.0198	1005.84	1.33	-175.00	{X=614,Y=34}	{X=614,Y=384}	{X=416,Y=384}
15	50	竖直向下	1790932728061	1790973340023	1790973340044	4061.1962	0.0021	4061.20	4.00	-99.17	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
16	100	竖直向下	1790983407254	1790973340023	1790973340044	1006.7231	0.0021	1006.72	2.00	-175.00	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=185}
17	100	水平向右	1790993917497	1791019256602	1791019568941	2533.9105	31.2339	2565.14	2.00	-99.41	{X=264,Y=384}	{X=614,Y=384}	{X=415,Y=384}
18	150	竖直向下	1791029637063	1791050058475	1791050448073	2042.1412	38.9598	2081.10	1.33	-95.51	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=186}
19	50	竖直向上	1791060508195	1791101037211	1791101248736	4052.9016	21.1525	4074.05	4.00	-99.20	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=582}
20	150	水平向右	1791111308906	1791131787826	1791131968711	2047.8920	18.0885	2065.98	1.33	-98.27	{X=264,Y=384}	{X=614,Y=384}	{X=417,Y=384}
21	150	竖直向下	1791142069546	1791162618558	1791162618586	2054.9012	0.0028	2054.90	1.33	-98.13	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=187}
22	50	竖直向上	1791172687084	1791213167015	1791213967562	4047.9931	80.0547	4128.05	4.00	-97.28	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=580}
23	100	竖直向上	1791224026649	1791249507127	1791249809676	2548.0478	30.2549	2578.30	2.00	-98.91	{X=614,Y=734}	{X=614,Y=384}	{X=614,Y=581}
24	50	竖直向下	1791259878169	1791300478647	1791301168629	4060.0478	68.9982	4129.05	4.00	-98.08	{X=614,Y=34}	{X=614,Y=384}	{X=614,Y=187}
