序号	左侧图片	右侧图片	能否重合	按键情况	是否正确	反应时
1	1_z_15_b.jpg	1_z_135_b.jpg	0	-1	0	-1
2	1_x_15_a.jpg	1_x_75_a.jpg	0	0	1	4002.83
3	1_z_15_b.jpg	1_z_135_a.jpg	1	1	1	4001.94
4	1_z_15_b.jpg	1_z_195_a.jpg	1	-1	0	-1
1	9_z_15_b.jpg	9_z_15_a.jpg	1	-1	0	-1
2	8_x_15_b.jpg	8_x_75_a.jpg	1	-1	0	-1
3	9_x_15_b.jpg	9_x_15_a.jpg	1	1	1	4002.79
4	8_x_15_b.jpg	8_x_135_a.jpg	1	0	0	4002.15
5	9_z_15_b.jpg	9_z_195_b.jpg	0	1	0	4003.76
6	8_z_15_b.jpg	8_z_75_b.jpg	0	1	0	4002.27
7	9_x_15_a.jpg	9_x_195_b.jpg	1	1	1	4006.08
8	8_z_15_b.jpg	8_z_15_a.jpg	1	1	1	4002.93
9	9_x_15_b.jpg	9_x_195_b.jpg	0	1	0	4003.73
10	8_z_15_a.jpg	8_z_135_b.jpg	1	-1	0	-1
11	9_x_15_b.jpg	9_x_75_b.jpg	0	-1	0	-1
12	8_z_15_a.jpg	8_z_75_b.jpg	1	-1	0	-1
13	9_x_15_a.jpg	9_x_75_b.jpg	1	-1	0	-1
14	8_z_15_b.jpg	8_z_135_a.jpg	1	-1	0	-1
15	9_x_15_b.jpg	9_x_135_a.jpg	1	-1	0	-1
16	8_x_15_b.jpg	8_x_135_b.jpg	0	-1	0	-1
17	9_z_15_a.jpg	9_z_75_a.jpg	0	-1	0	-1
18	8_x_15_a.jpg	8_x_195_b.jpg	1	-1	0	-1
19	9_z_15_b.jpg	9_z_75_b.jpg	0	-1	0	-1
20	8_x_15_a.jpg	8_x_75_b.jpg	1	-1	0	-1
21	9_z_15_b.jpg	9_z_135_b.jpg	0	-1	0	-1
22	8_x_15_a.jpg	8_x_195_b.jpg	1	-1	0	-1
23	9_x_15_a.jpg	9_x_195_a.jpg	0	-1	0	-1
24	8_x_15_a.jpg	8_x_195_a.jpg	0	-1	0	-1
25	9_z_15_b.jpg	9_z_195_b.jpg	0	-1	0	-1
26	8_z_15_b.jpg	8_z_15_a.jpg	1	-1	0	-1
27	9_x_15_b.jpg	9_x_15_a.jpg	1	-1	0	-1
28	8_x_15_a.jpg	8_x_15_b.jpg	1	-1	0	-1
29	9_z_15_b.jpg	9_z_15_b.jpg	0	-1	0	-1
30	8_x_15_a.jpg	8_x_75_b.jpg	1	-1	0	-1
31	9_x_15_b.jpg	9_x_135_a.jpg	1	-1	0	-1
32	8_x_15_b.jpg	8_x_135_a.jpg	1	-1	0	-1
33	9_z_15_a.jpg	9_z_195_b.jpg	1	-1	0	-1
34	8_z_15_b.jpg	8_z_135_b.jpg	0	-1	0	-1
35	9_z_15_a.jpg	9_z_195_a.jpg	0	-1	0	-1
36	8_x_15_a.jpg	8_x_75_b.jpg	1	-1	0	-1
37	9_x_15_a.jpg	9_x_75_b.jpg	1	-1	0	-1
38	8_z_15_a.jpg	8_z_195_a.jpg	0	-1	0	-1
39	9_z_15_b.jpg	9_z_135_a.jpg	1	-1	0	-1
40	8_x_15_b.jpg	8_x_195_a.jpg	1	-1	0	-1
41	9_z_15_a.jpg	9_z_135_a.jpg	0	-1	0	-1
42	8_z_15_a.jpg	8_z_15_b.jpg	1	-1	0	-1
43	9_x_15_a.jpg	9_x_75_b.jpg	1	-1	0	-1
44	8_z_15_b.jpg	8_z_75_a.jpg	1	-1	0	-1
45	9_z_15_b.jpg	9_z_15_a.jpg	1	-1	0	-1
46	8_z_15_a.jpg	8_z_195_b.jpg	1	-1	0	-1
47	9_x_15_a.jpg	9_x_135_b.jpg	1	-1	0	-1
48	8_z_15_a.jpg	8_z_75_a.jpg	0	-1	0	-1
49	9_z_15_a.jpg	9_z_135_b.jpg	1	-1	0	-1
50	8_z_15_b.jpg	8_z_195_a.jpg	1	-1	0	-1
51	9_x_15_a.jpg	9_x_15_a.jpg	0	-1	0	-1
52	8_x_15_b.jpg	8_x_135_a.jpg	1	-1	0	-1
53	9_z_15_a.jpg	9_z_75_a.jpg	0	-1	0	-1
54	8_z_15_b.jpg	8_z_135_b.jpg	0	-1	0	-1
55	9_z_15_a.jpg	9_z_15_b.jpg	1	-1	0	-1
56	8_x_15_b.jpg	8_x_15_a.jpg	1	-1	0	-1
57	9_x_15_a.jpg	9_x_135_b.jpg	1	-1	0	-1
58	8_x_15_b.jpg	8_x_15_a.jpg	1	-1	0	-1
59	9_z_15_a.jpg	9_z_75_a.jpg	0	-1	0	-1
60	8_z_15_a.jpg	8_z_195_a.jpg	0	-1	0	-1
61	9_x_15_b.jpg	9_x_15_a.jpg	1	-1	0	-1
62	8_x_15_a.jpg	8_x_15_b.jpg	1	-1	0	-1
63	9_x_15_b.jpg	9_x_195_a.jpg	1	-1	0	-1
64	8_z_15_a.jpg	8_z_15_b.jpg	1	-1	0	-1
