左侧图片	右侧图片	能否重合	按键情况	是否正确	反应时	实验开始时间	实验结束时间	实验用时
1_x_15_a.jpg	1_x_135_a.jpg	0	00:00:00	00:00:00	1037	20:53:17	20:53:57	40
1_z_15_b.jpg	1_z_135_b.jpg	0	1	0	821	20:53:17	20:53:57	41
1_z_15_b.jpg	1_z_135_a.jpg	1	0	0	1544	20:53:17	20:53:57	42
8_z_15_b.jpg	8_z_195_a.jpg	1	-1	0	-1	20:53:17	20:53:57	43
9_z_15_b.jpg	9_z_195_a.jpg	1	0	0	348	20:53:17	20:53:57	44
8_x_15_b.jpg	8_x_135_b.jpg	0	1	0	338	20:53:17	20:53:57	45
9_x_15_b.jpg	9_x_135_b.jpg	0	1	0	314	20:53:17	20:53:57	46
8_x_15_a.jpg	8_x_135_b.jpg	1	0	0	318	20:53:17	20:53:57	47
9_x_15_a.jpg	9_x_135_b.jpg	1	0	0	13	20:53:17	20:53:57	48
8_z_15_b.jpg	8_z_135_a.jpg	1	0	0	338	20:53:17	20:53:57	49
8_z_15_a.jpg	8_z_195_a.jpg	0	1	0	311	20:53:17	20:53:57	50
9_x_15_a.jpg	9_x_135_a.jpg	0	1	0	343	20:53:17	20:53:57	51
8_x_15_b.jpg	8_x_75_b.jpg	0	1	0	340	20:53:17	20:53:57	52
9_x_15_b.jpg	9_x_75_b.jpg	0	1	0	305	20:53:17	20:53:57	53
9_z_15_a.jpg	9_z_135_a.jpg	0	1	0	340	20:53:17	20:53:57	54
8_x_15_b.jpg	8_x_135_a.jpg	1	0	0	307	20:53:17	20:53:57	55
9_z_15_b.jpg	9_z_135_b.jpg	0	1	0	334	20:53:17	20:53:57	56
8_x_15_b.jpg	8_x_15_a.jpg	1	0	0	404	20:53:17	20:53:57	57
9_x_15_b.jpg	9_x_15_a.jpg	1	0	0	329	20:53:17	20:53:57	58
9_x_15_b.jpg	9_x_195_a.jpg	1	0	0	347	20:53:17	20:53:57	59
9_x_15_b.jpg	9_x_75_a.jpg	1	0	0	3	20:53:17	20:53:57	60
9_x_15_a.jpg	9_x_75_b.jpg	1	0	0	4	20:53:17	20:53:57	61
8_z_15_a.jpg	8_z_15_b.jpg	1	0	0	309	20:53:17	20:53:57	62
9_z_15_a.jpg	9_z_15_b.jpg	1	0	0	319	20:53:17	20:53:57	63
8_z_15_b.jpg	8_z_195_b.jpg	0	-1	0	-1	20:53:17	20:53:57	64
9_z_15_b.jpg	9_z_195_b.jpg	0	-1	0	-1	20:53:17	20:53:57	65
8_z_15_b.jpg	8_z_75_a.jpg	1	-1	0	-1	20:53:17	20:53:57	66
8_z_15_a.jpg	8_z_15_a.jpg	0	1	0	998	20:53:17	20:53:57	67
8_z_15_a.jpg	8_z_75_b.jpg	1	0	0	378	20:53:17	20:53:57	68
8_z_15_a.jpg	8_z_135_b.jpg	1	0	0	289	20:53:17	20:53:57	69
9_z_15_a.jpg	9_z_135_b.jpg	1	0	0	293	20:53:17	20:53:57	70
8_z_15_a.jpg	8_z_75_a.jpg	0	1	0	302	20:53:17	20:53:57	71
9_z_15_a.jpg	9_z_75_a.jpg	0	1	0	327	20:53:17	20:53:57	72
9_x_15_b.jpg	9_x_15_b.jpg	0	1	0	314	20:53:17	20:53:57	73
8_x_15_a.jpg	8_x_75_a.jpg	0	1	0	310	20:53:17	20:53:57	74
1_z_15_b.jpg	1_z_135_a.jpg	1	1	1	0	20:53:17	20:53:57	75
8_z_15_b.jpg	8_z_15_a.jpg	1	1	1	316	20:53:17	20:53:57	76
9_z_15_b.jpg	9_z_15_a.jpg	1	1	1	320	20:53:17	20:53:57	77
8_x_15_a.jpg	8_x_15_b.jpg	1	1	1	326	20:53:17	20:53:57	78
9_x_15_a.jpg	9_x_15_b.jpg	1	1	1	12	20:53:17	20:53:57	79
9_z_15_b.jpg	9_z_135_a.jpg	1	1	1	334	20:53:17	20:53:57	80
9_z_15_a.jpg	9_z_195_a.jpg	0	0	1	328	20:53:17	20:53:57	81
8_x_15_a.jpg	8_x_135_a.jpg	0	0	1	354	20:53:17	20:53:57	82
8_z_15_b.jpg	8_z_15_b.jpg	0	0	1	345	20:53:17	20:53:57	83
9_z_15_b.jpg	9_z_15_b.jpg	0	0	1	321	20:53:17	20:53:57	84
8_z_15_a.jpg	8_z_135_a.jpg	0	0	1	331	20:53:17	20:53:57	85
9_x_15_b.jpg	9_x_135_a.jpg	1	1	1	313	20:53:17	20:53:57	86
8_z_15_b.jpg	8_z_135_b.jpg	0	0	1	331	20:53:17	20:53:57	87
8_x_15_a.jpg	8_x_15_a.jpg	0	0	1	424	20:53:17	20:53:57	88
9_x_15_a.jpg	9_x_15_a.jpg	0	0	1	349	20:53:17	20:53:57	89
8_x_15_b.jpg	8_x_195_a.jpg	1	1	1	335	20:53:17	20:53:57	90
8_x_15_b.jpg	8_x_75_a.jpg	1	1	1	2	20:53:17	20:53:57	91
8_x_15_a.jpg	8_x_75_b.jpg	1	1	1	315	20:53:17	20:53:57	92
8_x_15_a.jpg	8_x_195_b.jpg	1	1	1	340	20:53:17	20:53:57	93
9_x_15_a.jpg	9_x_195_b.jpg	1	1	1	351	20:53:17	20:53:57	94
