Pra_Test	Trial	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	ObjRotate	PostRotate	Distance	RotateError	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY	ObjRotateSpeed	PostRotateSpeed
0	1	1	143219184	812	384	512	384	0.00	0.00	300.00	0.00	0	-0.00	-10.00	500.00	0.00	0.00	0.00
0	1	2	143219224	811	383	529	384	0.00	0.00	282.00	0.00	0	-0.01	-10.00	500.00	0.00	0.00	0.00
0	1	3	143219265	811	383	552	384	0.00	0.00	259.00	0.00	0	-0.03	-10.00	500.00	0.00	0.00	0.00
0	1	4	143219305	811	382	570	384	0.00	0.00	241.01	0.00	0	-0.04	-10.00	500.00	0.00	0.00	0.00
0	1	5	143219346	811	382	588	384	0.00	0.00	223.01	0.00	0	-0.05	-10.00	500.00	0.00	0.00	0.00
0	1	6	143219387	811	382	611	384	0.00	0.00	200.01	0.00	0	-0.07	-10.00	500.00	0.00	0.00	0.00
0	1	7	143219428	811	381	629	384	0.00	0.00	182.02	0.00	0	-0.08	-10.00	500.00	0.00	0.00	0.00
0	1	8	143219469	811	381	652	384	0.00	0.00	159.03	0.00	0	-0.09	-10.00	500.00	0.00	0.00	0.00
0	1	9	143219510	811	380	672	384	0.00	0.00	139.06	0.00	0	-0.11	-10.00	500.00	0.00	0.00	0.00
0	1	10	143219551	811	380	695	384	0.00	0.00	116.07	0.00	0	-0.12	-10.00	500.00	0.00	0.00	0.00
0	1	11	143219592	811	379	713	384	0.00	0.00	98.13	0.00	0	-0.13	-10.00	500.00	0.00	0.00	0.00
0	1	12	143219633	811	379	736	384	0.00	0.00	75.17	0.00	0	-0.15	-10.00	500.00	0.00	0.00	0.00
0	1	13	143219674	811	379	754	384	0.00	0.00	57.22	0.00	0	-0.16	-10.00	500.00	0.00	0.00	0.00
0	1	14	143219715	811	378	776	384	0.00	0.00	35.51	0.00	0	-0.18	-10.00	500.00	0.00	0.00	0.00
0	1	15	143219755	811	378	795	384	0.00	0.00	17.09	0.00	0	-0.19	-10.00	0.00	0.00	0.00	0.00
0	1	16	143219796	811	377	795	384	0.00	0.00	17.46	0.00	0	-0.20	-10.00	0.00	0.00	0.00	0.00
0	1	17	143219837	811	377	795	384	0.00	0.00	17.46	0.00	0	-0.22	-10.00	0.00	0.00	0.00	0.00
0	1	18	143219878	811	377	795	384	0.00	0.00	17.46	0.00	0	-0.23	-10.00	0.00	0.00	0.00	0.00
0	1	19	143219919	811	376	795	384	0.00	0.00	17.89	0.00	0	-0.24	-10.00	0.00	0.00	0.00	0.00
0	1	20	143219960	811	376	795	384	0.00	0.00	17.89	0.00	0	-0.26	-10.00	0.00	0.00	0.00	0.00
0	1	21	143220001	811	375	795	384	0.00	0.00	18.36	0.00	0	-0.27	-10.00	0.00	0.00	0.00	0.00
0	1	22	143220042	811	375	795	384	0.00	0.00	18.36	0.00	0	-0.28	-10.00	0.00	0.00	0.00	0.00
0	1	23	143220083	811	375	795	384	0.00	0.00	18.36	0.00	0	-0.30	-10.00	0.00	0.00	0.00	0.00
0	1	24	143220124	811	374	795	384	0.00	0.00	18.87	0.00	0	-0.31	-10.00	0.00	0.00	0.00	0.00
0	1	25	143220165	811	374	795	384	0.00	0.00	18.87	0.00	0	-0.33	-9.99	0.00	-500.00	0.00	0.00
0	1	26	143220206	811	373	795	365	0.00	0.00	17.89	0.00	0	-0.34	-9.99	0.00	-500.00	0.00	0.00
0	1	27	143220247	811	373	795	347	0.00	0.00	30.53	0.00	0	-0.35	-9.99	0.00	-500.00	0.00	0.00
0	1	28	143220288	811	372	795	324	0.00	0.00	50.60	0.00	0	-0.37	-9.99	0.00	-500.00	0.00	0.00
0	1	29	143220329	811	372	795	305	0.00	0.00	68.88	0.00	0	-0.38	-9.99	0.00	-500.00	0.00	0.00
0	1	30	143220370	811	372	795	287	0.00	0.00	86.49	0.00	0	-0.39	-9.99	0.00	-500.00	0.00	0.00
0	1	31	143220411	811	371	795	262	0.00	0.00	110.17	0.00	0	-0.41	-9.99	0.00	-500.00	0.00	0.00
0	1	32	143220452	811	371	795	245	0.00	0.00	127.01	0.00	0	-0.42	-9.99	0.00	-500.00	0.00	0.00
0	1	33	143220492	811	370	795	219	0.00	0.00	151.85	0.00	0	-0.44	-9.99	0.00	-500.00	0.00	0.00
0	1	34	143220533	811	370	795	199	0.00	0.00	171.75	0.00	0	-0.45	-9.99	-500.00	-500.00	0.00	0.00
0	1	35	143220574	811	370	777	181	0.00	0.00	192.03	0.00	0	-0.46	-9.99	-500.00	-500.00	0.00	0.00
0	1	36	143220615	811	369	759	163	0.00	0.00	212.46	0.00	0	-0.47	-9.99	-500.00	-500.00	0.00	0.00
0	1	37	143220656	811	369	735	139	0.00	0.00	242.23	0.00	0	-0.49	-9.99	-500.00	0.00	0.00	0.00
0	1	38	143220697	811	368	718	139	0.00	0.00	247.16	0.00	0	-0.50	-9.99	-500.00	500.00	0.00	0.00
0	1	39	143220738	811	368	693	164	0.00	0.00	235.67	0.00	0	-0.52	-9.99	-500.00	500.00	0.00	0.00
0	1	40	143220778	811	368	675	182	0.00	0.00	230.42	0.00	0	-0.53	-9.99	-500.00	500.00	0.00	0.00
0	1	41	143220819	811	367	656	201	0.00	0.00	227.11	0.00	0	-0.54	-9.99	-500.00	500.00	0.00	0.00
0	1	42	143220860	811	367	633	224	0.00	0.00	228.33	0.00	0	-0.56	-9.98	-500.00	500.00	0.00	0.00
0	1	43	143220901	811	366	615	242	0.00	0.00	231.93	0.00	0	-0.57	-9.98	-500.00	500.00	0.00	0.00
0	1	44	143220942	811	366	592	265	0.00	0.00	241.17	0.00	0	-0.59	-9.98	0.00	500.00	0.00	0.00
0	1	45	143220983	811	366	592	283	0.00	0.00	234.20	0.00	0	-0.60	-9.98	500.00	500.00	0.00	0.00
0	1	46	143221024	811	365	616	307	0.00	0.00	203.44	0.00	0	-0.61	-9.98	500.00	500.00	0.00	0.00
0	1	47	143221064	811	365	637	328	0.00	0.00	177.89	0.00	0	-0.63	-9.98	500.00	500.00	0.00	0.00
0	1	48	143221105	811	364	654	345	0.00	0.00	158.15	0.00	0	-0.64	-9.98	500.00	500.00	0.00	0.00
0	1	49	143221146	811	364	679	370	0.00	0.00	132.14	0.00	0	-0.66	-9.98	500.00	500.00	0.00	0.00
0	1	50	143221187	811	363	696	388	0.00	0.00	117.69	0.00	0	-0.67	-9.98	500.00	0.00	0.00	0.00
