Pra_Test	Trial	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
0	1	1	462628	812	384	512	384	300.00	0	-0.00	-10.00	500.00	0.00
0	1	2	462669	811	383	527	384	284.00	0	-0.01	-10.00	500.00	0.00
0	1	3	462710	811	383	549	384	262.00	0	-0.02	-10.00	0.00	0.00
0	1	4	462751	811	382	549	384	262.01	0	-0.04	-10.00	0.00	0.00
0	1	5	462792	811	382	549	384	262.01	0	-0.05	-10.00	0.00	0.00
0	1	6	462833	811	381	549	384	262.02	0	-0.07	-10.00	0.00	0.00
0	1	7	462874	811	381	549	384	262.02	0	-0.08	-10.00	0.00	0.00
0	1	8	462915	811	381	549	384	262.02	0	-0.09	-10.00	0.00	0.00
0	1	9	462956	811	380	549	384	262.03	0	-0.11	-10.00	0.00	0.00
0	1	10	462997	811	380	549	384	262.03	0	-0.12	-10.00	0.00	0.00
0	1	11	463038	811	379	549	384	262.05	0	-0.14	-10.00	0.00	0.00
0	1	12	463079	811	379	549	384	262.05	0	-0.15	-10.00	0.00	0.00
0	1	13	463120	811	379	549	384	262.05	0	-0.16	-10.00	0.00	0.00
0	1	14	463161	811	378	549	384	262.07	0	-0.18	-10.00	0.00	0.00
0	1	15	463202	811	378	549	384	262.07	0	-0.19	-10.00	0.00	0.00
0	1	16	463243	811	377	549	384	262.09	0	-0.20	-10.00	0.00	0.00
0	1	17	463284	811	377	549	384	262.09	0	-0.22	-10.00	0.00	0.00
0	1	18	463325	811	377	549	384	262.09	0	-0.23	-10.00	0.00	0.00
0	1	19	463366	811	376	549	384	262.12	0	-0.24	-10.00	0.00	0.00
0	1	20	463407	811	376	549	384	262.12	0	-0.26	-10.00	0.00	0.00
0	1	21	463448	811	375	549	384	262.15	0	-0.27	-10.00	0.00	0.00
0	1	22	463489	811	375	549	384	262.15	0	-0.29	-10.00	0.00	0.00
0	1	23	463530	811	375	549	384	262.15	0	-0.30	-10.00	0.00	0.00
0	1	24	463571	811	374	549	384	262.19	0	-0.31	-10.00	0.00	0.00
0	1	25	463612	811	374	549	384	262.19	0	-0.33	-9.99	0.00	0.00
0	1	26	463652	811	373	549	384	262.23	0	-0.34	-9.99	0.00	0.00
0	1	27	463693	811	373	549	384	262.23	0	-0.35	-9.99	0.00	0.00
0	1	28	463734	811	372	549	384	262.27	0	-0.37	-9.99	0.00	0.00
0	1	29	463775	811	372	549	384	262.27	0	-0.38	-9.99	0.00	0.00
0	1	30	463816	811	372	549	384	262.27	0	-0.40	-9.99	0.00	0.00
0	1	31	463857	811	371	549	384	262.32	0	-0.41	-9.99	0.00	0.00
0	1	32	463898	811	371	549	384	262.32	0	-0.42	-9.99	0.00	0.00
0	1	33	463939	811	370	549	384	262.37	0	-0.43	-9.99	0.00	0.00
0	1	34	463980	811	370	549	384	262.37	0	-0.45	-9.99	0.00	0.00
0	1	35	464021	811	370	549	384	262.37	0	-0.46	-9.99	0.00	0.00
0	1	36	464062	811	369	549	384	262.43	0	-0.48	-9.99	0.00	0.00
0	1	37	464103	811	369	549	384	262.43	0	-0.49	-9.99	0.00	0.00
0	1	38	464144	811	368	549	384	262.49	0	-0.50	-9.99	0.00	0.00
0	1	39	464185	811	368	549	384	262.49	0	-0.52	-9.99	0.00	0.00
0	1	40	464226	811	368	549	384	262.49	0	-0.53	-9.99	0.00	-500.00
0	1	41	464267	811	367	549	366	262.00	0	-0.54	-9.99	0.00	-500.00
0	1	42	464308	811	367	549	344	263.01	0	-0.56	-9.98	0.00	-500.00
0	1	43	464349	811	366	549	323	265.51	0	-0.57	-9.98	0.00	-500.00
0	1	44	464390	811	366	549	301	269.94	0	-0.59	-9.98	0.00	-500.00
0	1	45	464431	811	366	549	284	274.53	0	-0.60	-9.98	0.00	-500.00
0	1	46	464472	811	365	549	262	281.52	0	-0.61	-9.98	0.00	-500.00
