Pra_Test	HoldNum	HoldTime	StartTime	SureTime	Test_RT	HoldError	Error_Ratio
0	1	7000	144958064	144960929	2865	-4135	-0.59
0	2	11000	144962912	144963263	351	-10649	-0.97
0	3	6000	144965232	144969255	4023	-1977	-0.33
0	4	12000	144971232	144971857	625	-11375	-0.95
0	5	3000	144973856	144974185	329	-2671	-0.89
0	6	4000	144976192	144976613	421	-3579	-0.89
0	7	2000	144978608	144979291	683	-1317	-0.66
0	8	5000	144981280	144981626	346	-4654	-0.93
0	9	8000	144983616	144983781	165	-7835	-0.98
0	10	10000	144985776	144986313	537	-9463	-0.95
0	11	9000	144988288	144988617	329	-8671	-0.96
0	12	13000	144990624	144991039	415	-12585	-0.97
1	1	3000	144999152	144999743	591	-2409	-0.80
1	2	10000	145001728	145003146	1418	-8582	-0.86
1	3	13000	145005136	145005681	545	-12455	-0.96
1	4	7000	145007664	145008683	1019	-5981	-0.85
1	5	5000	145010672	145011976	1304	-3696	-0.74
1	6	2000	145013952	145014362	410	-1590	-0.80
1	7	9000	145016336	145016426	90	-8910	-0.99
1	8	11000	145018416	145018695	279	-10721	-0.97
1	9	12000	145020688	145020939	251	-11749	-0.98
1	10	8000	145022944	145023757	813	-7187	-0.90
1	11	4000	145025712	145025745	33	-3967	-0.99
1	12	6000	145027728	145028094	366	-5634	-0.94
