Pra_Test	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
0	1	278365	1259	597	960	600	299.02	0	-0.04	-5.00	0.00	-500.00
0	2	278406	1259	597	960	583	299.33	0	-0.05	-5.00	0.00	0.00
0	3	278446	1259	596	960	583	299.28	0	-0.05	-5.00	0.00	0.00
0	4	278487	1259	596	960	583	299.28	0	-0.05	-5.00	0.00	0.00
0	5	278528	1259	596	960	583	299.28	0	-0.06	-5.00	0.00	0.00
0	6	278569	1259	596	960	583	299.28	0	-0.06	-5.00	0.00	0.00
0	7	278610	1259	596	960	583	299.28	0	-0.06	-5.00	0.00	0.00
0	8	278651	1259	595	960	583	299.24	0	-0.07	-5.00	0.00	0.00
0	9	278692	1259	595	960	583	299.24	0	-0.07	-5.00	0.00	0.00
0	10	278733	1259	595	960	583	299.24	0	-0.07	-5.00	0.00	0.00
0	11	278774	1259	595	960	583	299.24	0	-0.08	-5.00	0.00	0.00
0	12	278814	1259	595	960	583	299.24	0	-0.08	-5.00	0.00	0.00
0	13	278855	1259	594	960	583	299.20	0	-0.08	-5.00	0.00	0.00
0	14	278895	1259	594	960	583	299.20	0	-0.09	-5.00	0.00	0.00
0	15	278936	1259	594	960	583	299.20	0	-0.09	-5.00	0.00	0.00
0	16	278977	1259	594	960	583	299.20	0	-0.09	-5.00	0.00	0.00
0	17	279018	1259	594	960	583	299.20	0	-0.10	-5.00	0.00	-500.00
0	18	279058	1259	593	960	561	300.71	0	-0.10	-5.00	0.00	-500.00
0	19	279099	1259	593	960	540	303.66	0	-0.10	-5.00	0.00	-500.00
0	20	279139	1259	593	960	524	306.86	0	-0.11	-5.00	0.00	-500.00
0	21	279179	1259	593	960	502	312.54	0	-0.11	-5.00	0.00	-500.00
0	22	279219	1259	593	960	481	319.29	0	-0.11	-5.00	0.00	-500.00
0	23	279260	1259	592	960	460	326.84	0	-0.12	-5.00	0.00	-500.00
0	24	279301	1259	592	960	442	334.52	0	-0.12	-5.00	0.00	-500.00
0	25	279342	1259	592	960	419	345.44	0	-0.12	-5.00	0.00	-500.00
0	26	279383	1259	592	960	401	354.80	0	-0.13	-5.00	0.00	-500.00
0	27	279424	1259	592	960	378	367.69	0	-0.13	-5.00	0.00	-500.00
0	28	279464	1259	591	960	356	380.30	0	-0.14	-5.00	0.00	-500.00
0	29	279505	1259	591	960	335	393.62	0	-0.14	-5.00	0.00	-500.00
0	30	279546	1259	591	960	319	404.21	0	-0.14	-5.00	0.00	-500.00
0	31	279587	1259	591	960	296	420.03	0	-0.15	-5.00	0.00	-500.00
0	32	279628	1259	591	960	278	432.86	0	-0.15	-5.00	0.00	-500.00
0	33	279669	1259	590	960	255	449.03	0	-0.15	-5.00	0.00	-500.00
0	34	279710	1259	590	960	237	462.61	0	-0.16	-5.00	0.00	-500.00
0	35	279751	1259	590	960	215	479.61	0	-0.16	-5.00	0.00	-500.00
0	36	279792	1259	590	960	193	497.00	0	-0.16	-5.00	0.00	-500.00
0	37	279833	1259	590	960	172	513.93	0	-0.17	-5.00	0.00	-500.00
0	38	279874	1259	589	960	155	527.03	0	-0.17	-5.00	0.00	-500.00
0	39	279915	1259	589	960	132	546.12	0	-0.17	-5.00	0.00	-500.00
0	40	279956	1259	589	960	114	561.27	0	-0.18	-5.00	0.00	-500.00
0	41	279997	1259	589	960	91	580.87	0	-0.18	-5.00	0.00	-500.00
0	42	280038	1259	589	960	73	596.37	0	-0.18	-5.00	0.00	-500.00
0	43	280079	1259	588	960	50	615.50	0	-0.19	-5.00	0.00	-500.00
0	44	280119	1259	588	960	32	631.30	0	-0.19	-5.00	0.00	-500.00
0	45	280160	1259	588	960	9	651.65	0	-0.19	-5.00	0.00	-500.00
0	46	280201	1259	588	960	0	659.66	0	-0.20	-5.00	0.00	-500.00
0	47	280242	1259	587	960	0	658.76	0	-0.20	-5.00	0.00	-500.00
0	48	280283	1259	587	960	0	658.76	0	-0.20	-5.00	0.00	-500.00
0	49	280324	1259	587	960	0	658.76	0	-0.21	-5.00	0.00	-500.00
0	50	280365	1259	587	960	0	658.76	0	-0.21	-5.00	0.00	-500.00
0	51	280406	1259	587	960	0	658.76	0	-0.21	-5.00	-500.00	-500.00
0	52	280447	1259	586	942	0	666.25	0	-0.22	-5.00	-500.00	-500.00
0	53	280488	1259	586	918	0	677.99	0	-0.22	-5.00	-500.00	-500.00
0	54	280529	1259	586	901	0	686.70	0	-0.22	-4.99	-500.00	-500.00
0	55	280570	1259	586	877	0	699.51	0	-0.23	-4.99	-500.00	0.00
0	56	280611	1259	586	860	0	708.94	0	-0.23	-4.99	-500.00	0.00
0	57	280652	1259	585	836	0	721.91	0	-0.23	-4.99	-500.00	0.00
