Pra_Test	Trial	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
1	1	1	1258629	812	384	512	384	300.00	0	-0.00	-50.00	56.00	0.00
1	1	2	1258669	811	382	513	384	298.01	0	-0.29	-50.00	56.00	0.00
1	1	3	1258710	811	380	516	384	295.03	0	-0.63	-50.00	0.00	0.00
1	1	4	1258751	811	377	516	384	295.08	0	-1.00	-49.99	0.00	0.00
1	1	5	1258792	811	376	516	384	295.11	0	-1.26	-49.98	0.00	0.00
1	1	6	1258833	811	374	516	384	295.17	0	-1.62	-49.97	0.00	0.00
1	1	7	1258874	811	372	516	384	295.24	0	-1.98	-49.96	0.00	0.00
1	1	8	1258915	811	369	516	384	295.38	0	-2.34	-49.95	0.00	0.00
1	1	9	1258956	811	367	516	384	295.49	0	-2.69	-49.93	0.00	0.00
1	1	10	1258997	811	365	516	384	295.61	0	-3.05	-49.91	0.00	0.00
1	1	11	1259038	811	364	516	384	295.68	0	-3.31	-49.89	0.00	0.00
1	1	12	1259079	811	361	516	384	295.90	0	-3.68	-49.86	0.00	0.00
1	1	13	1259120	811	359	516	384	296.06	0	-4.02	-49.84	100.00	0.00
1	1	14	1259161	810	357	520	384	291.25	0	-4.38	-49.81	500.00	0.00
1	1	15	1259202	810	355	542	384	269.56	0	-4.75	-49.77	500.00	0.00
1	1	16	1259243	810	353	563	384	248.94	0	-5.09	-49.74	500.00	0.00
1	1	17	1259283	810	351	580	384	232.36	0	-5.37	-49.71	500.00	0.00
1	1	18	1259324	810	349	601	384	211.91	0	-5.73	-49.67	500.00	-111.00
1	1	19	1259365	809	347	623	379	188.73	0	-6.08	-49.63	500.00	-193.00
1	1	20	1259406	809	345	645	370	165.89	0	-6.45	-49.58	500.00	-201.00
1	1	21	1259447	809	343	666	362	144.26	0	-6.79	-49.54	496.00	-197.00
1	1	22	1259487	808	341	682	355	126.78	0	-7.06	-49.50	360.00	-166.00
1	1	23	1259528	808	339	698	348	110.37	0	-7.43	-49.45	264.00	0.00
1	1	24	1259569	808	337	709	348	99.61	0	-7.77	-49.39	208.00	0.00
1	1	25	1259610	808	335	717	348	91.92	0	-8.12	-49.34	236.00	0.00
1	1	26	1259651	807	333	725	348	83.36	0	-8.39	-49.29	368.00	0.00
1	1	27	1259692	807	331	742	348	67.19	0	-8.76	-49.23	500.00	0.00
1	1	28	1259733	806	329	763	348	47.01	0	-9.11	-49.16	500.00	0.00
1	1	29	1259774	806	327	785	348	29.70	0	-9.46	-49.10	356.00	-130.00
1	1	30	1259815	806	325	797	344	21.02	0	-9.74	-49.04	256.00	-189.00
1	1	31	1259855	805	323	808	336	13.34	0	-10.09	-48.97	124.00	-193.00
1	1	32	1259896	805	321	813	327	10.00	0	-10.44	-48.90	64.00	0.00
1	1	33	1259937	804	319	816	327	14.42	0	-10.79	-48.82	0.00	0.00
1	1	34	1259978	804	317	816	327	15.62	0	-11.15	-48.74	0.00	0.00
1	1	35	1260019	804	315	816	327	16.97	0	-11.41	-48.68	0.00	0.00
1	1	36	1260060	803	313	816	327	19.10	0	-11.77	-48.59	0.00	0.00
1	1	37	1260101	803	311	816	327	20.62	0	-12.15	-48.50	0.00	0.00
1	1	38	1260142	802	309	816	327	22.80	0	-12.43	-48.43	0.00	0.00
1	1	39	1260182	802	307	816	327	24.41	0	-12.78	-48.34	-130.00	0.00
1	1	40	1260223	801	305	810	327	23.77	0	-13.13	-48.25	-205.00	-130.00
1	1	41	1260264	801	303	803	323	20.10	0	-13.39	-48.17	-186.00	-229.00
1	1	42	1260305	800	301	795	313	13.00	0	-13.75	-48.07	0.00	-241.00
1	1	43	1260346	799	299	795	301	4.47	1	-14.13	-47.96	0.00	0.00
1	1	44	1260387	799	297	795	301	5.66	1	-14.41	-47.88	0.00	0.00
1	1	45	1260427	798	295	795	301	6.71	1	-14.77	-47.77	0.00	0.00
1	1	46	1260468	797	293	795	301	8.25	1	-15.11	-47.66	0.00	0.00
1	1	47	1260508	797	291	795	301	10.20	0	-15.36	-47.58	0.00	0.00
1	1	48	1260549	796	289	795	301	12.04	0	-15.70	-47.47	0.00	0.00
1	1	49	1260590	796	287	795	301	14.04	0	-16.04	-47.36	0.00	-213.00
1	1	50	1260631	795	285	795	292	7.00	1	-16.39	-47.24	0.00	-233.00
1	1	51	1260672	794	283	795	282	1.41	1	-16.73	-47.12	0.00	0.00
1	1	52	1260713	794	282	795	282	1.00	1	-16.99	-47.03	0.00	0.00
1	1	53	1260754	793	280	795	282	2.83	1	-17.33	-46.90	0.00	0.00
1	1	54	1260795	792	277	795	282	5.83	1	-17.69	-46.77	0.00	0.00
1	1	55	1260836	792	276	795	282	6.71	1	-17.95	-46.67	0.00	0.00
1	1	56	1260877	791	274	795	282	8.94	1	-18.28	-46.54	0.00	0.00
1	1	57	1260918	790	272	795	282	11.18	0	-18.63	-46.40	0.00	0.00
1	1	58	1260959	789	270	795	282	13.42	0	-18.89	-46.29	0.00	0.00
1	1	59	1260999	788	268	795	282	15.65	0	-19.23	-46.15	0.00	0.00
1	1	60	1261040	788	266	795	282	17.46	0	-19.59	-46.00	0.00	0.00
1	1	61	1261081	787	264	795	282	19.70	0	-19.88	-45.88	-375.00	-500.00
1	1	62	1261122	786	262	778	259	8.54	1	-20.22	-45.73	-469.00	-500.00
1	1	63	1261163	785	261	763	244	27.80	0	-20.46	-45.62	0.00	108.00
1	1	64	1261204	784	259	763	248	23.71	0	-20.79	-45.48	0.00	0.00
1	1	65	1261245	783	257	763	248	21.93	0	-21.11	-45.32	0.00	0.00
1	1	66	1261286	783	255	763	248	21.19	0	-21.44	-45.17	0.00	0.00
1	1	67	1261326	782	253	763	248	19.65	0	-21.76	-45.02	0.00	0.00
1	1	68	1261367	781	251	763	248	18.25	0	-22.08	-44.86	0.00	0.00
1	1	69	1261407	780	249	763	248	17.03	0	-22.34	-44.73	96.00	0.00
1	1	70	1261448	779	248	768	248	11.00	0	-22.66	-44.57	228.00	0.00
1	1	71	1261489	778	246	777	248	2.24	1	-22.98	-44.41	304.00	0.00
1	1	72	1261530	777	244	790	248	13.60	0	-23.30	-44.24	184.00	0.00
1	1	73	1261571	776	242	797	248	21.84	0	-23.56	-44.10	0.00	0.00
1	1	74	1261612	775	240	797	248	23.41	0	-23.87	-43.93	0.00	0.00
1	1	75	1261654	774	238	797	248	25.08	0	-24.19	-43.76	0.00	0.00
1	1	76	1261695	773	237	797	248	26.40	0	-24.50	-43.59	0.00	0.00
1	1	77	1261736	772	235	797	248	28.18	0	-24.75	-43.44	0.00	0.00
1	1	78	1261777	771	233	797	248	30.02	0	-25.05	-43.27	0.00	0.00
1	1	79	1261818	770	231	797	248	31.91	0	-25.39	-43.08	0.00	0.00
1	1	80	1261858	769	230	797	248	33.29	0	-25.64	-42.93	-445.00	-205.00
1	1	81	1261899	768	228	778	239	14.87	0	-25.95	-42.74	-500.00	-363.00
1	1	82	1261940	767	226	756	224	11.18	0	-26.25	-42.55	-500.00	-347.00
1	1	83	1261981	766	224	735	209	34.44	0	-26.56	-42.37	0.00	0.00
1	1	84	1262022	765	222	735	209	32.70	0	-26.86	-42.17	0.00	0.00
1	1	85	1262063	764	221	735	209	31.38	0	-27.09	-42.02	0.00	0.00
1	1	86	1262104	762	219	735	209	28.79	0	-27.39	-41.83	0.00	0.00
