Pra_Test	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
1	1	1293117	811	381	512	384	447.21	0	50.00	0.00	60.00	0.00
1	2	1293158	811	379	513	384	298.04	0	50.00	0.00	176.00	0.00
1	3	1293199	811	377	521	384	290.08	0	50.00	0.00	356.00	0.00
1	4	1293240	811	375	536	384	275.15	0	50.00	0.00	488.00	0.00
1	5	1293281	811	373	557	384	254.24	0	50.00	0.00	500.00	0.00
1	6	1293322	811	371	579	384	232.36	0	50.00	0.00	500.00	0.00
1	7	1293363	811	369	595	384	216.52	0	50.00	0.00	500.00	0.00
1	8	1293404	811	367	617	384	194.74	0	50.00	0.00	500.00	0.00
1	9	1293444	811	365	638	384	174.04	0	50.00	0.00	500.00	0.00
1	10	1293485	811	363	660	384	152.45	0	50.00	0.00	500.00	0.00
1	11	1293526	811	360	681	384	132.20	0	50.00	0.00	500.00	0.00
1	12	1293567	810	359	697	384	115.73	0	50.00	0.00	500.00	0.00
1	13	1293608	810	357	718	384	95.88	0	50.00	0.00	500.00	0.00
1	14	1293649	810	355	740	384	75.77	0	50.00	0.00	500.00	0.00
1	15	1293690	810	353	761	384	57.98	0	50.00	0.00	500.00	0.00
1	16	1293731	810	350	783	384	43.42	0	50.00	0.00	500.00	0.00
1	17	1293772	809	348	804	384	36.35	0	50.00	0.00	332.00	0.00
1	18	1293813	809	347	815	384	37.48	0	50.00	0.00	128.00	0.00
1	19	1293854	809	344	820	384	41.48	0	50.00	0.00	0.00	0.00
1	20	1293895	809	342	820	384	43.42	0	50.00	0.00	0.00	0.00
1	21	1293936	808	340	820	384	45.61	0	50.00	0.00	0.00	0.00
1	22	1293977	808	338	820	384	47.54	0	50.00	0.00	0.00	-280.00
1	23	1294018	808	337	820	374	38.90	0	50.00	0.00	0.00	-323.00
1	24	1294059	807	334	820	360	29.07	0	50.00	0.00	0.00	-260.00
1	25	1294100	807	332	820	349	21.40	0	50.00	0.00	0.00	0.00
1	26	1294141	807	330	820	349	23.02	0	50.00	0.00	0.00	0.00
1	27	1294182	806	328	820	349	25.24	0	50.00	0.00	0.00	0.00
1	28	1294223	806	326	820	349	26.93	0	50.00	0.00	0.00	0.00
1	29	1294264	806	324	820	349	28.65	0	50.00	0.00	0.00	-335.00
1	30	1294305	805	322	820	335	19.85	0	50.00	0.00	-272.00	-500.00
1	31	1294346	805	320	809	313	8.06	1	50.00	0.00	-394.00	-500.00
1	32	1294387	804	318	792	292	28.64	0	50.00	0.00	0.00	0.00
1	33	1294428	804	316	792	292	26.83	0	50.00	0.00	0.00	0.00
1	34	1294469	803	314	792	292	24.60	0	50.00	0.00	0.00	0.00
1	35	1294510	803	312	792	292	22.83	0	50.00	0.00	0.00	0.00
1	36	1294551	802	310	792	292	20.59	0	50.00	0.00	0.00	0.00
1	37	1294592	802	308	792	292	18.87	0	50.00	0.00	0.00	0.00
1	38	1294633	801	306	792	292	16.64	0	50.00	0.00	0.00	0.00
1	39	1294673	801	305	792	292	15.81	0	50.00	0.00	0.00	0.00
1	40	1294713	800	302	792	292	12.81	0	50.00	0.00	0.00	0.00
1	41	1294754	800	300	792	292	11.31	0	50.00	0.00	0.00	0.00
1	42	1294795	799	298	792	292	9.22	1	50.00	0.00	0.00	0.00
1	43	1294836	799	296	792	292	8.06	1	50.00	0.00	0.00	0.00
1	44	1294877	798	295	792	292	6.71	1	50.00	0.00	0.00	0.00
1	45	1294918	797	293	792	292	5.10	1	50.00	0.00	0.00	0.00
1	46	1294959	797	291	792	292	5.10	1	50.00	0.00	0.00	0.00
1	47	1295000	796	289	792	292	5.00	1	50.00	0.00	0.00	0.00
1	48	1295041	795	287	792	292	5.83	1	50.00	0.00	0.00	0.00
1	49	1295082	795	285	792	292	7.62	1	50.00	0.00	0.00	0.00
1	50	1295123	794	283	792	292	9.22	1	50.00	0.00	0.00	0.00
1	51	1295164	793	281	792	292	11.05	0	50.00	0.00	0.00	0.00
1	52	1295205	793	279	792	292	13.04	0	50.00	0.00	0.00	0.00
1	53	1295246	792	277	792	292	15.00	0	50.00	0.00	0.00	0.00
1	54	1295287	791	275	792	292	17.03	0	50.00	0.00	0.00	0.00
1	55	1295328	791	273	792	292	19.03	0	50.00	0.00	0.00	0.00
1	56	1295369	790	271	792	292	21.10	0	50.00	0.00	0.00	-264.00
1	57	1295410	789	269	792	280	11.40	0	50.00	0.00	-138.00	-481.00
1	58	1295451	788	267	786	260	7.28	1	50.00	0.00	-178.00	-434.00
1	59	1295492	787	266	778	241	26.57	0	50.00	0.00	0.00	0.00
1	60	1295533	786	264	778	241	24.35	0	50.00	0.00	0.00	0.00
1	61	1295574	786	262	778	241	22.47	0	50.00	0.00	0.00	0.00
1	62	1295615	785	260	778	241	20.25	0	50.00	0.00	0.00	0.00
1	63	1295656	784	258	778	241	18.03	0	50.00	0.00	0.00	0.00
1	64	1295697	783	256	778	241	15.81	0	50.00	0.00	0.00	0.00
