Pra_Test	EventNum	EventType	StartTime	SureTime	Event_RT	ButtonNo	Event_Acc
1	1	1	131238815	131240229	1414	0	0
1	2	0	131243819	131244389	570	0	1
1	3	1	131246813	131247378	565	0	0
1	4	1	131251817	131252278	461	0	0
1	5	1	131256821	131257387	566	0	0
1	6	1	131259815	131260374	559	0	0
1	7	0	131263834	131264477	643	0	1
1	8	1	131269823	131270315	492	1	1
1	9	1	131273842	131274512	670	1	1
1	10	0	131277821	131278239	418	1	0
1	11	1	131280815	131281311	496	1	1
1	12	1	131286844	131287432	588	0	0
1	13	1	131290822	131291569	747	0	0
1	14	0	131294842	131295402	560	1	0
