Pra_Test	PointNum	PointTime	ObjPointX	ObjPointY	PostPointX	PostPointY	Distance	Hit	ObjSpeedX	ObjSpeedY	PostSpeedX	PostSpeedY
1	1	131374656	1259	597	960	600	299.02	0	-0.04	-5.00	0.00	-500.00
1	2	131374698	1259	597	960	583	299.33	0	-0.05	-5.00	0.00	-500.00
1	3	131374739	1259	596	960	560	301.16	0	-0.05	-5.00	0.00	-500.00
1	4	131374780	1259	596	960	542	303.84	0	-0.05	-5.00	0.00	-500.00
1	5	131374821	1259	596	960	518	309.01	0	-0.06	-5.00	0.00	-500.00
1	6	131374862	1259	596	960	502	313.43	0	-0.06	-5.00	0.00	0.00
1	7	131374902	1259	596	960	502	313.43	0	-0.06	-5.00	0.00	0.00
1	8	131374943	1259	595	960	502	313.13	0	-0.07	-5.00	0.00	0.00
1	9	131374984	1259	595	960	502	313.13	0	-0.07	-5.00	0.00	0.00
1	10	131375025	1259	595	960	502	313.13	0	-0.07	-5.00	0.00	500.00
1	11	131375066	1259	595	960	525	307.08	0	-0.08	-5.00	500.00	500.00
1	12	131375107	1259	595	977	543	286.75	0	-0.08	-5.00	500.00	500.00
1	13	131375148	1259	594	1001	566	259.51	0	-0.08	-5.00	500.00	500.00
1	14	131375188	1259	594	1018	584	241.21	0	-0.09	-5.00	500.00	500.00
1	15	131375229	1259	594	1042	607	217.39	0	-0.09	-5.00	0.00	0.00
1	16	131375270	1259	594	1042	607	217.39	0	-0.09	-5.00	0.00	0.00
1	17	131375311	1259	594	1042	607	217.39	0	-0.10	-5.00	0.00	0.00
1	18	131375352	1259	593	1042	607	217.45	0	-0.10	-5.00	0.00	0.00
1	19	131375394	1259	593	1042	607	217.45	0	-0.10	-5.00	0.00	0.00
1	20	131375435	1259	593	1042	607	217.45	0	-0.11	-5.00	0.00	0.00
1	21	131375476	1259	593	1042	607	217.45	0	-0.11	-5.00	0.00	0.00
1	22	131375516	1259	593	1042	607	217.45	0	-0.11	-5.00	0.00	0.00
1	23	131375557	1259	592	1042	607	217.52	0	-0.12	-5.00	0.00	0.00
1	24	131375597	1259	592	1042	607	217.52	0	-0.12	-5.00	0.00	0.00
1	25	131375638	1259	592	1042	607	217.52	0	-0.13	-5.00	0.00	0.00
1	26	131375679	1259	592	1042	607	217.52	0	-0.13	-5.00	0.00	0.00
1	27	131375720	1259	592	1042	607	217.52	0	-0.13	-5.00	0.00	0.00
1	28	131375760	1259	591	1042	607	217.59	0	-0.14	-5.00	0.00	0.00
1	29	131375801	1259	591	1042	607	217.59	0	-0.14	-5.00	0.00	0.00
1	30	131375841	1259	591	1042	607	217.59	0	-0.14	-5.00	0.00	0.00
1	31	131375882	1259	591	1042	607	217.59	0	-0.15	-5.00	0.00	0.00
1	32	131375923	1259	591	1042	607	217.59	0	-0.15	-5.00	0.00	0.00
1	33	131375964	1259	590	1042	607	217.66	0	-0.15	-5.00	0.00	0.00
1	34	131376005	1259	590	1042	607	217.66	0	-0.16	-5.00	0.00	0.00
1	35	131376046	1259	590	1042	607	217.66	0	-0.16	-5.00	0.00	0.00
1	36	131376086	1259	590	1042	607	217.66	0	-0.16	-5.00	0.00	0.00
1	37	131376127	1259	590	1042	607	217.66	0	-0.17	-5.00	0.00	0.00
1	38	131376168	1259	589	1042	607	217.75	0	-0.17	-5.00	0.00	0.00
1	39	131376209	1259	589	1042	607	217.75	0	-0.17	-5.00	0.00	0.00
1	40	131376249	1259	589	1042	607	217.75	0	-0.18	-5.00	0.00	0.00
1	41	131376290	1259	589	1042	607	217.75	0	-0.18	-5.00	0.00	0.00
1	42	131376330	1259	589	1042	607	217.75	0	-0.18	-5.00	0.00	0.00
1	43	131376371	1259	588	1042	607	217.83	0	-0.19	-5.00	0.00	0.00
1	44	131376411	1259	588	1042	607	217.83	0	-0.19	-5.00	0.00	0.00
1	45	131376452	1259	588	1042	607	217.83	0	-0.19	-5.00	0.00	0.00
1	46	131376492	1259	588	1042	607	217.83	0	-0.20	-5.00	0.00	0.00
1	47	131376533	1259	587	1042	607	217.92	0	-0.20	-5.00	0.00	0.00
1	48	131376573	1259	587	1042	607	217.92	0	-0.20	-5.00	0.00	0.00
1	49	131376614	1259	587	1042	607	217.92	0	-0.21	-5.00	0.00	0.00
1	50	131376654	1259	587	1042	607	217.92	0	-0.21	-5.00	0.00	0.00
1	51	131376695	1259	587	1042	607	217.92	0	-0.21	-5.00	0.00	0.00
1	52	131376736	1259	586	1042	607	218.01	0	-0.22	-5.00	0.00	0.00
1	53	131376777	1259	586	1042	607	218.01	0	-0.22	-5.00	0.00	0.00
1	54	131376817	1259	586	1042	607	218.01	0	-0.22	-4.99	0.00	0.00
1	55	131376858	1259	586	1042	607	218.01	0	-0.23	-4.99	0.00	0.00
1	56	131376898	1259	586	1042	607	218.01	0	-0.23	-4.99	0.00	0.00
1	57	131376939	1259	585	1042	607	218.11	0	-0.23	-4.99	0.00	0.00
1	58	131376979	1259	585	1042	607	218.11	0	-0.24	-4.99	500.00	0.00
1	59	131377020	1259	585	1059	607	201.21	0	-0.24	-4.99	500.00	-500.00
1	60	131377061	1259	585	1083	584	176.00	0	-0.25	-4.99	500.00	-500.00
1	61	131377102	1259	585	1100	567	160.02	0	-0.25	-4.99	500.00	-500.00
1	62	131377142	1259	584	1123	543	142.05	0	-0.25	-4.99	500.00	-500.00
1	63	131377183	1259	584	1141	526	131.48	0	-0.26	-4.99	500.00	-500.00
1	64	131377224	1259	584	1165	502	124.74	0	-0.26	-4.99	0.00	0.00
1	65	131377265	1259	584	1165	502	124.74	0	-0.26	-4.99	0.00	0.00
1	66	131377306	1259	584	1165	502	124.74	0	-0.27	-4.99	0.00	0.00
1	67	131377347	1259	583	1165	502	124.08	0	-0.27	-4.99	0.00	0.00
1	68	131377387	1259	583	1165	502	124.08	0	-0.27	-4.99	0.00	0.00
1	69	131377428	1259	583	1165	502	124.08	0	-0.28	-4.99	0.00	0.00
1	70	131377468	1259	583	1165	502	124.08	0	-0.28	-4.99	0.00	0.00
1	71	131377509	1259	583	1165	502	124.08	0	-0.28	-4.99	0.00	0.00
1	72	131377550	1259	582	1165	502	123.43	0	-0.29	-4.99	0.00	0.00
1	73	131377591	1259	582	1165	502	123.43	0	-0.29	-4.99	500.00	0.00
