序号	左侧图片	右侧图片	能否重合	按键情况	是否正确	反应时
1	1_z_15_b.jpg	1_z_135_b.jpg	0	0	1	3676.77
2	1_x_15_a.jpg	1_x_75_a.jpg	0	1	0	3034.36
3	1_z_15_b.jpg	1_z_135_a.jpg	1	0	0	2941.79
4	1_z_15_b.jpg	1_z_195_a.jpg	1	1	1	1191.95
1	9_z_15_b.jpg	9_z_15_a.jpg	1	1	1	1878.68
2	8_x_15_b.jpg	8_x_75_a.jpg	1	0	0	721.753
3	9_x_15_b.jpg	9_x_15_a.jpg	1	1	1	565.782
4	8_x_15_b.jpg	8_x_135_a.jpg	1	1	1	576.64
5	9_z_15_b.jpg	9_z_195_b.jpg	0	1	0	558.816
6	8_z_15_b.jpg	8_z_75_b.jpg	0	1	0	536.607
7	9_x_15_a.jpg	9_x_195_b.jpg	1	0	0	620.971
8	8_z_15_b.jpg	8_z_15_a.jpg	1	0	0	671.393
9	9_x_15_b.jpg	9_x_195_b.jpg	0	0	1	1169.97
10	8_z_15_a.jpg	8_z_135_b.jpg	1	1	1	790.097
11	9_x_15_b.jpg	9_x_75_b.jpg	0	0	1	1291.91
12	8_z_15_a.jpg	8_z_75_b.jpg	1	1	1	1392.19
13	9_x_15_a.jpg	9_x_75_b.jpg	1	0	0	1221.44
14	8_z_15_b.jpg	8_z_135_a.jpg	1	1	1	986.047
15	9_x_15_b.jpg	9_x_135_a.jpg	1	0	0	790.135
16	8_x_15_b.jpg	8_x_135_b.jpg	0	1	0	1239.28
17	9_z_15_a.jpg	9_z_75_a.jpg	0	0	1	806.909
18	8_x_15_a.jpg	8_x_195_b.jpg	1	0	0	1008.46
19	9_z_15_b.jpg	9_z_75_b.jpg	0	0	1	2470.53
20	8_x_15_a.jpg	8_x_75_b.jpg	1	1	1	2860.37
21	9_z_15_b.jpg	9_z_135_b.jpg	0	1	0	1091.81
22	8_x_15_a.jpg	8_x_195_b.jpg	1	1	1	2288.3
23	9_x_15_a.jpg	9_x_195_a.jpg	0	1	0	1068.37
24	8_x_15_a.jpg	8_x_195_a.jpg	0	1	0	960.415
25	9_z_15_b.jpg	9_z_195_b.jpg	0	0	1	575.555
26	8_z_15_b.jpg	8_z_15_a.jpg	1	1	1	2673.69
27	9_x_15_b.jpg	9_x_15_a.jpg	1	1	1	876.18
28	8_x_15_a.jpg	8_x_15_b.jpg	1	0	0	3181.31
29	9_z_15_b.jpg	9_z_15_b.jpg	0	0	1	1139.28
30	8_x_15_a.jpg	8_x_75_b.jpg	1	1	1	837.595
31	9_x_15_b.jpg	9_x_135_a.jpg	1	0	0	891.417
32	8_x_15_b.jpg	8_x_135_a.jpg	1	1	1	839.228
33	9_z_15_a.jpg	9_z_195_b.jpg	1	1	1	903.75
34	8_z_15_b.jpg	8_z_135_b.jpg	0	0	1	1389.52
35	9_z_15_a.jpg	9_z_195_a.jpg	0	0	1	964.131
36	8_x_15_a.jpg	8_x_75_b.jpg	1	0	0	745.226
37	9_x_15_a.jpg	9_x_75_b.jpg	1	1	1	734.163
38	8_z_15_a.jpg	8_z_195_a.jpg	0	0	1	714.249
39	9_z_15_b.jpg	9_z_135_a.jpg	1	1	1	1014.31
40	8_x_15_b.jpg	8_x_195_a.jpg	1	0	0	814.253
41	9_z_15_a.jpg	9_z_135_a.jpg	0	0	1	797.634
42	8_z_15_a.jpg	8_z_15_b.jpg	1	0	0	881.643
43	9_x_15_a.jpg	9_x_75_b.jpg	1	0	0	968.566
44	8_z_15_b.jpg	8_z_75_a.jpg	1	0	0	793.55
45	9_z_15_b.jpg	9_z_15_a.jpg	1	0	0	780.593
46	8_z_15_a.jpg	8_z_195_b.jpg	1	1	1	731.398
47	9_x_15_a.jpg	9_x_135_b.jpg	1	1	1	745.355
48	8_z_15_a.jpg	8_z_75_a.jpg	0	1	0	967.031
49	9_z_15_a.jpg	9_z_135_b.jpg	1	1	1	917.427
50	8_z_15_b.jpg	8_z_195_a.jpg	1	0	0	1710.4
51	9_x_15_a.jpg	9_x_15_a.jpg	0	1	0	1314.59
52	8_x_15_b.jpg	8_x_135_a.jpg	1	0	0	890.942
53	9_z_15_a.jpg	9_z_75_a.jpg	0	0	1	930.637
54	8_z_15_b.jpg	8_z_135_b.jpg	0	0	1	2411.25
55	9_z_15_a.jpg	9_z_15_b.jpg	1	0	0	1022.97
56	8_x_15_b.jpg	8_x_15_a.jpg	1	0	0	997.672
57	9_x_15_a.jpg	9_x_135_b.jpg	1	0	0	914.977
58	8_x_15_b.jpg	8_x_15_a.jpg	1	0	0	896.889
59	9_z_15_a.jpg	9_z_75_a.jpg	0	0	1	731.779
60	8_z_15_a.jpg	8_z_195_a.jpg	0	1	0	780.982
61	9_x_15_b.jpg	9_x_15_a.jpg	1	1	1	846.307
62	8_x_15_a.jpg	8_x_15_b.jpg	1	1	1	891.814
63	9_x_15_b.jpg	9_x_195_a.jpg	1	1	1	891.811
64	8_z_15_a.jpg	8_z_15_b.jpg	1	0	0	1038.11
