ID	Name	Sex	Session	DistanceError	PracMode	ExperMode	MainTask	SubTask	Background	Direction	InitSpeed	HoldTimeNum	HoldTime1	HoldTime2	HoldTime3	HoldTime4	HoldTime5	HoldTime6	HoldTime7	HoldTime8	HoldTime9	HoldTime10	HoldTime11	HoldTime12	PracTime	ExperTime	PracTimes	ExperTimes	Pra_Test	HoldNum	HoldTime	StartTime	SureTime	Test_RT	HoldError	Error_Ratio
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	1	2000	359939827	359940201	374	-1626	-0.81
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	2	4000	359942187	359942401	214	-3786	-0.95
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	3	2000	359944387	359944401	14	-1986	-0.99
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	4	1000	359946387	359946946	559	-441	-0.44
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	5	3000	359948907	359948969	62	-2938	-0.98
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	6	5000	359950947	359951192	245	-4755	-0.95
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	7	3000	359953187	359953496	309	-2691	-0.90
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	8	1000	359955468	359955825	357	-643	-0.64
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	9	4000	359957788	359958017	229	-3771	-0.94
1	11	ÄÐ	0	20.00	0	1	1	1	0	-1	23.00	5	1.0	2.0	3.0	4.0	5.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	3	3	2	2	1	10	5000	359959988	359960176	188	-4812	-0.96
